Nome, Nacionalidade, Gênero, Data de Nascimento, Altura, Peso, Modalidade, Medalhas de Ouro
Usain Bolt, Jamaica, masculino, 21/08/1986, 1.96, 95, Atletismo, 3 
Allyson Felix, Estados Unidos, feminino, 18/11/1985, 1.68, 56, Atletismo, 2 
Elaine Thompson, Jamaica, feminino, 28/06/1992, 1.67, 57, Atletismo, 2 
Mohamed Farah, Reino Unido, masculino, 23/03/1983, 1.75, 58, Atletismo, 2 
Tianna Bartoletta, Estados Unidos, feminino, 30/08/1985, 1.68, 58, Atletismo, 2 
Almaz Ayana, Etiópia, feminino, 21/11/1991, 1.66, 47, Atletismo, 1 
Anita Wlodarczyk, Polônia, feminino, 08/08/1985, 1.78, 95, Atletismo, 1 
Arman Hall, Estados Unidos, masculino, 12/02/1994, 1.83, 74, Atletismo, 1 
Asafa Powell, Jamaica, masculino, 23/11/1982, 1.91, 93, Atletismo, 1 
Ashton Eaton, Estados Unidos, masculino, 21/01/1988, 1.86, 81, Atletismo, 1 
Michael Phelps, Estados Unidos, masculino, 30/06/1985, 1.94, 90, Natação, 5 
Katie Ledecky, Estados Unidos, feminino, 17/03/1997, 1.83, 72, Natação, 4 
Katinka Hosszu, Hungria, feminino, 03/05/1989, 1.75, 68, Natação, 3
Ryan Murphy, Estados Unidos, masculino, 02/07/1995, 1.91, 90, Natação, 3 
Aisen Chen, China, masculino, 22/10/1995, 1.68, 60, Natação, 2 
Anthony Ervin, Estados Unidos, masculino, 26/05/1981, 1.91, 80, Natação, 2 
Caeleb Dressel, Estados Unidos, masculino, 16/08/1996, 1.91, 86, Natação, 2 
Lilly King, Estados Unidos, feminino, 10/02/1997, 1.76, 70, Natação, 2 
Madeline Dirado, Estados Unidos, feminino, 05/04/1993, 1.76, 64, Natação, 2 
Natalia Ishchenko, Rússia, feminino, 08/04/1986, 1.77, 56, Natação, 2 
Jason Kenny, Reino Unido, masculino, 23/03/1988, 1.78, 81, Ciclismo, 3 
Laura Trott, Reino Unido, feminino, 24/04/1992, 1.64, 56, Ciclismo, 2 
Anna van der Breggen, Holanda, feminino, 18/04/1990, 1.67, 56, Ciclismo, 1 
Bradley Wiggins, Reino Unido, masculino, 28/04/1980, 1.90, 82, Ciclismo, 1 
Callum Skinner, Reino Unido, masculino, 20/08/1992, 1.87, 93, Ciclismo, 1 
Connor Fields, Estados Unidos, masculino, 14/09/1992, 1.83, 88, Ciclismo, 1 
Edward Clancy, Reino Unido, masculino, 12/03/1985, 1.85, 79, Ciclismo, 1 
Elia Viviani, Itália, masculino, 07/02/1989, 1.77, 70, Ciclismo, 1 
Elinor Barker, Reino Unido, feminino, 07/09/1994, 1.68, 56, Ciclismo, 1 
Elis Ligtlee, Holanda, feminino, 28/06/1994, 1.85, 90, Ciclismo, 1
